trade_id,symbol,entry_time,entry_price,stop_loss_price,exit_price,exit_time,pnl_amount,pnl_pct,quantity
145,PLTU,2025-05-06 07:02,46.89,46.5727,47.44,2025-05-06 07:26,258.66,1.17%,472
148,FOXO,2025-05-06 08:33,2.04,1.7458,1.98,2025-05-06 08:46,-47.37,-3.04%,764
149,WRD,2025-05-06 08:40,7.7993,7.7426,7.84,2025-05-06 08:53,921.41,0.50%,23809
151,MRIN,2025-05-06 09:01,1.5401,1.5081,1.5089,2025-05-06 09:03,-466.32,-2.15%,14062
152,GLMD,2025-05-06 09:04,1.71,1.5925,1.69,2025-05-06 09:05,-70.2,-1.29%,3191
150,DEO,2025-05-06 08:56,116.35,115.839,117.1896,2025-05-06 09:16,245.42,0.72%,293
153,UNG,2025-05-06 09:08,17.98,17.8809,17.98,2025-05-06 09:22,-24.22,-0.01%,12108
154,UCO,2025-05-06 09:16,19.85,19.7641,19.8027,2025-05-06 09:27,-688.48,-0.25%,13969
157,CE,2025-05-06 09:23,47.6,47.4988,47.53,2025-05-06 09:28,-160.06,-0.15%,2223
155,USO,2025-05-06 09:16,64.79,64.5956,64.71,2025-05-06 09:28,-537.76,-0.13%,6558
156,VST,2025-05-06 09:22,138.2,137.7597,137.8697,2025-05-06 09:28,-169.82,-0.24%,511
147,CEG,2025-05-06 08:02,239,234.306,259.96,2025-05-06 09:31,985.03,8.77%,47
162,LX,2025-05-06 09:31,8.62,8.497,8.4999,2025-05-06 09:33,-148.89,-1.42%,1219
166,MNSO,2025-05-06 09:32,18.79,18.6016,18.73,2025-05-06 09:33,-49.35,-0.33%,796
163,TBCH,2025-05-06 09:31,9.52,8.8255,8.853,2025-05-06 09:34,-432.84,-7.03%,647
158,CELH,2025-05-06 09:31,35.4026,33.6821,34.745,2025-05-06 09:35,-430.72,-1.86%,653
161,LABD,2025-05-06 09:31,8.295,8.2532,8.2665,2025-05-06 09:35,-1094.73,-0.37%,35885
170,EOSE,2025-05-06 09:33,4.99,4.9397,4.985,2025-05-06 09:37,-125.24,-0.14%,17892
176,NFE,2025-05-06 09:35,5.675,5.6173,5.6187,2025-05-06 09:37,-151.64,-1.03%,2599
